UNITID,F1A01,F1A09,F1B01,F1H02   
175342,45497160,8192501,14015788,11781752
175519,15243431,2022742,2483449,
175573,10912956,2302246,2132851,6770431
175616,8478421,4916309,17937184,20098615
175643,9410143,1044529,1585562,2177557
175652,23628240,3754271,9794645,143222
175786,46334300,19881560,5236105,46641
175810,10398749,5108285,4373803,2545518
175829,33360392,4351453,12679374,5376711
175856,59859183,30347249,41914319,15249718
175883,14882654,4113869,4466362,6793402
175935,15709451,1885942,3255617,9886378
175999,14986599,10854050,0,
176008,9801322,2349328,1858082,10000
176017,128618662,68318564,160180025,520216354
176026,395406082,130708972,21161236,63468907
176035,11068938,4043129,11271241,3712274
176044,15570177,2997920,7028704,1872034
176071,53958863,8334377,21852339,4101196
176080,134994650,50554625,125773165,394924743
176169,11137466,1497053,2997599,3111837
176178,18318002,4255428,7859721,5752111
176239,31962223,4822633,2344616,31493
176354,13491616,2012642,1511368,1391606
176372,94589114,36043928,86917284,72450098
176798,,,598957,
176965,88055795,29575341,61529664,34064760
176983,,,390876,
177056,,,1391381,
177135,25363757,2255564,4898040,559276
177250,13221062,5532363,4709197,3960313
177436,,,1237360,
177472,50324991,16701334,13903725,1717459
177551,12662992,2505031,3128232,1118697
177676,28158573,4968445,7771987,698250
177870,,,4500,
177940,16678768,4714272,7212198,6917457
177977,9184361,1832766,6614405,98746
178129,87434759,27162277,22543810,4492145
178217,10500709,4074931,8408859,3814080
178341,15082370,6246503,16582114,32223163
178387,30215096,8131307,24346196,26269972
178396,901906620,325986223,311243320,692852905
178402,116953299,55565040,131168132,198057880
